BalanceWeight,RetentionWeight,RiskyRevolverPenalty,SafeLowRevolvePenalty,Objective,ALL_THREE,BEST_ONLY,BEST_LTV,LTV_ONLY,PROFIT_ONLY,LTV_PROFIT,Overlap_BEST087,Overlap_LTV079,Overlap_Profit077
0.1,0.0,0.05,0.15,0.7389980434026506,0.9104617928212758,0.8471271261857884,0.829724265667575,0.6308188795768918,0.6901615360258482,0.6727023239605864,,,
0.05,0.1,0.1,0.05,0.7388302133282416,0.9134974730394892,0.8333575931626991,0.8546483905540418,0.7090295858421481,0.6192257867528271,0.6974253192341584,,,
0.05,0.1,0.05,0.1,0.7385992359964072,0.9137605668092492,0.8397664139967782,0.849917505903724,0.6840996965012205,0.6503256743134087,0.6835891271329008,,,
0.1,0.0,0.0,0.1,0.7381888471667175,0.910923351360734,0.8462470982638268,0.8323862161671208,0.642869281529699,0.6827133021001616,0.6695278979412,,,
0.05,0.1,0.1,0.15,0.7376608414586033,0.9133806376294092,0.8404564730624665,0.847694961852861,0.6748266037428804,0.657553433279483,0.6875959355924057,,,
0.05,0.1,0.1,0.1,0.7371166903501443,0.9136598587316348,0.8372466158940397,0.8515763796548592,0.6931150772986168,0.6394983024232633,0.6931317532644397,,,
0.0,0.15,0.15,0.0,0.7370790269175318,0.9103795431405368,0.8139999792375157,0.8601092752043596,0.7398480943856794,0.5730044271405492,0.7094772235840744,,,
0.0,0.15,0.0,0.15,0.7368800499092929,0.9140148995350567,0.8380917911222481,0.8490497175295185,0.6708448559804719,0.6687304781906301,0.6716313671393095,,,
0.05,0.1,0.15,0.1,0.7368772118636813,0.9130537079164343,0.8337653536781815,0.852493047229791,0.7011390634662328,0.6261582604200323,0.7017874980373308,,,
0.0,0.15,0.0,0.0,0.7366097374900201,0.9142475383547208,0.8277176695901199,0.8596575653950954,0.7207278136696501,0.616189969628433,0.6857949063526396,,,
0.05,0.1,0.15,0.15,0.7364419969291777,0.9131523102349515,0.8376070676570609,0.8492654096276112,0.6838757323026852,0.6459232659127625,0.6968551766402307,,,
0.1,0.0,0.15,0.0,0.7363890753273423,0.9129375865476412,0.8338770775013424,0.8480615059037239,0.7097763275020341,0.6110042588045235,0.7111101723944564,,,
0.05,0.05,0.0,0.15,0.736095220934582,0.9118638767342384,0.8431168041882943,0.8346096230699365,0.6388302074857608,0.6915081751211632,0.6674238556436753,,,
0.0,0.15,0.1,0.0,0.7356233640043005,0.9122147040605045,0.8196361288705925,0.860536093551317,0.7344213075671278,0.5899964936995153,0.7025543989425619,,,
0.1,0.0,0.0,0.0,0.7355073580352876,0.9134736085673547,0.8420985657776981,0.8433555549500453,0.683878583807974,0.6507218084006462,0.6832343673796364,,,
0.0,0.15,0.05,0.0,0.7355016742312722,0.9134946222552849,0.8242045111866834,0.8603683633060855,0.728051490642799,0.6043147470113085,0.6946394209725225,,,
